,Name,Site,Address
,17 Grams,https://17grams.co.uk/,
,19 Coffee and Tea,https://19coffeeandtea.co.uk/,"Shrewsbury, United Kingdom"
,200 Degrees,https://200degs.com/,"Meadow Lane, Nottingham, NG2 3HE"
,38 Espresso,https://38espresso.com/,"253 Abbey Road, Millisle, Newtownards, United Kingdom"
,39 Steps Coffee,https://39stepscoffee.com/,
,3FE Coffee,www.3fe.com,"32/34 Lower Grand Canal St, Dublin, Ireland"
,47 Degrees Coffee Roasters,www.47degreescoffee.com,Unit 24 Bailey Brook Business Park Langley Mill Nottingham NG16 4BE
,80 Stone Coffee Roasters,www.80stonecoffeeroasters.co.uk,"512 Fulham Rd, Fulham, London SW6 5NJ"
,918 Coffee,http://www.918coffee.com/,"10 Old Market Centre, Gillingham, Dorset, SP8 4QQ"
,92 Degrees Coffee,https://www.92degreescoffee.com,"The Baltic Roastery, 49 Jamaica Street, Liverpool, L1 0AH"
,A Big O Coffee,https://www.abigocoffee.com/,"London, England"
,ABE & Co,https://www.abeandco.co.uk/,"Manchester, United Kingdom"
,Adams & Russell,https://coffeeblog.co.uk/adamsrussellcoffee,"48 Appin Road, Argyle Industrial Estate, Birkenhead, Merseyside, CH41 9HH"
,Alchemy Coffee,alchemycoffee.co.uk,"Unit 14-16, Riverside Business Park, Lyon Road, London, SW19 2RL "
,Alfie & Co Coffee Roasters,https://alfiecoffee.co.uk/,"Unit 16, 3 Forrest StreetGlasgowG40 2TX"
,All About The Grind,https://allaboutthegrind.shop/,"Aston Road, Waterlooville, United Kingdom"
,Allpress Espresso UK,https://www.allpressespresso.com/,"55 Dalston Lane, Dalston, London, E8 2NG"
,Altitude Coffee,https://altitudecoffee.ie/,"Kilcrea Farm, Donabate, Ireland"
,Altitude Coffee London,altitude-coffee.co.uk,"Unit 2, 190 Hornchurch RoadHornchurchRM11 1QL "
,Amber Coffee Roasters,https://t.co/xR8hWKks4r,Cricklewood Station
,Anam Coffee,https://www.anamcoffee.ie/,"Kilcorney, Kilfenora, Ireland"
,Ancoats Coffee Co.,https://www.ancoats-coffee.co.uk/,"9 Royal Mills, 17 Redhill St, Manchester, M4 5BA"
,And Bloss,https://www.andbloss.com/,"Bloss Coffee Roasters , Ashford, United Kingdom"
,Andronicas Coffee,www.andronicas.com,"91-93 Great Eastern Street, London, EC2A 3HZ"
,Angelucci Coffee,angeluccicoffee.co.uk,"472 Long Lane, East Finchley, London, N2 8JL "
,Anonymous Coffee,https://www.anonymouscoffee.co.uk/,"Roost, 14th Floor, Thames Tower, Reading, RG1 1LX"
,Anvil Coffee,www.anvilcoffee.co.uk,"Basingstoke, Hampshire"
,Apostle Coffee,https://apostlecoffee.com/,
