name,domain,uk_region,source_type,parser_strategy,crawl_frequency_hours
Square Mile Coffee Roasters,shop.squaremilecoffee.com,London,shopify,shopify,12
Monmouth Coffee Company,www.monmouthcoffee.co.uk,London,shopify,shopify,12
Workshop Coffee,www.workshopcoffee.com,London,shopify,shopify,12
Rave Coffee,www.ravecoffee.co.uk,South West,shopify,shopify,24
Has Bean Coffee,www.hasbean.co.uk,Midlands,shopify,shopify,24
Climpson & Sons,climpsonandsons.com,London,shopify,shopify,24
Ozone Coffee Roasters,ozonecoffee.co.uk,London,shopify,shopify,24
Extract Coffee Roasters,extractcoffee.co.uk,South West,shopify,shopify,24
Origin Coffee Roasters,origincoffee.co.uk,South West,shopify,shopify,24
Nude Espresso,nudeespresso.com,London,shopify,shopify,48
Union Hand-Roasted Coffee,unionroasted.com,London,shopify,shopify,24
Pact Coffee,www.pactcoffee.com,London,shopify,shopify,24
Grind Coffee,grind.co.uk,London,shopify,shopify,24
Browns of Brockley,brownsofbrockley.com,London,shopify,shopify,48
Caravan Coffee Roasters,caravancoffeeroasters.co.uk,London,shopify,shopify,24
Allpress Espresso,allpressespresso.com,London,shopify,shopify,24
Volcano Coffee Works,volcanocoffeeworks.com,London,shopify,shopify,48
Prufrock Coffee,prufrockcoffee.com,London,html,html,48
Taylor St Baristas,taylor-st.com,London,shopify,shopify,48
Notes Coffee,www.notescoffee.com,London,shopify,shopify,48
Dark Arts Coffee,www.darkartscoffee.co.uk,London,shopify,shopify,48
Assembly Coffee,assemblycoffee.co.uk,London,shopify,shopify,24
Redemption Roasters,redemptionroasters.com,London,shopify,shopify,48
Bailies Coffee Roasters,bailiescoffee.com,Northern Ireland,shopify,shopify,48
Coffee Plant,coffee.uk.com,London,html,html,72
Climpsons & Sons,climpsonandsons.com,London,shopify,shopify,48
Batch Coffee,batchcoffee.co.uk,Yorkshire,shopify,shopify,24
Pump Street Coffee,pumpstreetbakery.com,East Anglia,shopify,shopify,48
Kiss the Hippo,kissthehippo.com,London,shopify,shopify,24
Perky Blenders,perkyblenders.com,London,shopify,shopify,48
Flying Horse Coffee,flyinghorsecoffee.com,South West,shopify,shopify,72
Round Hill Roastery,roundhillroastery.com,South West,shopify,shopify,48
Girls Who Grind Coffee,girlswhogrindcoffee.com,South West,shopify,shopify,48
Unravel Coffee,unravelcoffee.com,London,shopify,shopify,72
Coppersmiths,coppersmiths.coffee,London,shopify,shopify,72
Colonna Coffee,colonnacoffee.com,South West,shopify,shopify,48
200 Degrees Coffee,200degs.com,Midlands,shopify,shopify,24
North Star Coffee Roasters,northstarroast.com,Yorkshire,shopify,shopify,24
La Famiglia Cha,www.lafamigliacha.com,Yorkshire,shopify,shopify,72
Neighbourhood Coffee,neighbourhoodcoffee.co.uk,Yorkshire,shopify,shopify,48
Darkwoods Coffee,darkwoodscoffee.co.uk,Yorkshire,shopify,shopify,48
Forge Coffee Roasters,forgecoffeeroasters.co.uk,Yorkshire,shopify,shopify,72
Common Ground Coffee,commongroundcoffee.co.uk,Manchester,shopify,shopify,48
ManCoco,mancoco.co.uk,Manchester,shopify,shopify,72
Ancoats Coffee,ancoats.coffee,Manchester,shopify,shopify,48
Takk Coffee House,takkmcr.com,Manchester,html,html,72
Fig & Sparrow,figandsparrow.co.uk,Manchester,html,html,72
Idle Hands Coffee,idlehandscoffee.com,South West,shopify,shopify,72
Clifton Coffee Roasters,cliftoncoffee.co.uk,South West,shopify,shopify,48
Westfield Coffee,westfieldcoffee.co.uk,Scotland,shopify,shopify,72
