domain,name,region,roaster_flag,cafe_flag
shop.squaremilecoffee.com,Square Mile Coffee Roasters,London,true,false
www.hasbean.co.uk,Has Bean Coffee,Midlands,true,false
www.monmouthcoffee.co.uk,Monmouth Coffee Company,London,true,true
www.workshopcoffee.com,Workshop Coffee,London,true,true
www.ravecoffee.co.uk,Rave Coffee,South West,true,false
www.theorigincoffee.co.uk,Origin Coffee,South West,true,true
www.coaltown.coffee,Coaltown Coffee,Wales,true,false
www.strangerscoffee.com,Strangers Coffee,East of England,true,true
www.taylorsofharrogate.co.uk,Taylors of Harrogate,Yorkshire,true,false
www.extract.coffee,Extract Coffee Roasters,South West,true,false
www.bunkercoffee.co.uk,Bunker Coffee,Scotland,true,true
www.colonnacoffee.com,Colonna Coffee,South West,true,true
www.climbingkilimanjaro.co.uk,Climbing Kilimanjaro,East of England,true,false
www.pactcoffee.com,Pact Coffee,London,true,false
www.allpressespresso.com,Allpress Espresso,London,true,true
www.rountonhills.co.uk,Rounton Coffee Roasters,Yorkshire,true,false
www.terracottacoffee.co.uk,Terracotta Coffee,London,true,false
www.darkwoods.coffee,Dark Woods Coffee,Yorkshire,true,false
www.redemptionroasters.com,Redemption Roasters,London,true,false
www.bawdseycoffee.co.uk,Bawdsey Coffee,East of England,true,false
